,Main Category,Child Category,GrandChild Category,Prompt,Translate
67,Artists,Dadaism,,Art By Ilia Zdanevich,Ilia Zdanevich
68,Artists,Dadaism,,Painting By Jean Crotti,Jean Crotti
69,Artists,Dadaism,,Arp,阿普
70,Artists,Neo-Dadaism,,Art By Genpei Akasegawa,Genpei Akasegawa
71,Artists,Neo-Dadaism,,Painting By Josip Demirovic Devj,Josip Demirovic Devj
72,Artists,Neo-Dadaism,,Painting By Jim Dine,吉姆-迪恩
73,Artists,Neo-Dadaism,,Art By Arthur Kopcke,Arthur Kopcke
74,Artists,Neo-Dadaism,,Art By George Maciunas,George Maciunas
75,Artists,Neo-Dadaism,,Art By Valery Oisteanu,Valery Oisteanu
76,Artists,Neo-Dadaism,,Painting By Ushio Shinohara,筱原卯雄
77,Artists,Neo-Dadaism,,Art By Jean Tinguely,Jean Tinguely
78,Artists,Neo-Dadaism,,Art By Masunobu Yoshimura,Masunobu Yoshimura
79,Artists,Instagram Artist,,Art By Seth McMahon,Seth McMahon
80,Artists,Instagram Artist,,Artofethan,阿托菲斯坦
81,Artists,Instagram Artist,,Art By Artofethan,Artofethan
82,Artists,Instagram Artist,,Painting By Peter Mohrbacher,Peter Mohrbacher
83,Artists,Instagram Artist,,Painting By Boris Groh,鲍里斯-格罗
84,Artists,Artstation Artist,,Painted By Annton Fadeev,Annton Fadeev
85,Artists,Artstation Artist,,Painted By Alena Aenami,Alena Aenami
86,Artists,Artstation Artist,,Painted By Andreas Rocha,Andreas Rocha
87,Artists,Artstation Artist,,Painted By Aleksi Briclot,Aleksi Briclot
88,Artists,Artstation Artist,,Painting By Ivan Stan,伊万-斯坦
89,Artists,Manga,,Painting By Junji Ito,伊藤润二
90,Artists,Manga,,Painted By Akihiko Yoshida,吉田明彦
91,Artists,Manga,,Painted By Anton Pieck,安东-皮耶克
92,Artists,Manga,,Painted By Angus McKie,安格斯-麦基
93,Artists,Manga,,Painted By Akari Toriyama,鸟山明里
94,Artists,Manga,,Painted By Al Williamson,Al Williamson
95,Artists,Manga,,Art by Ilya Kuvshinov,Ilya Kuvshinov
96,Artists,Non-Painters,Sculptors,Art By Alberto Giacometti,Alberto Giacometti
97,Artists,Non-Painters,Sculptors,Art By Alexander Milne Calder,亚历山大-米尔恩-考尔德
98,Artists,Non-Painters,Photographers,Art By Anne Geddes,Anne Geddes
99,Artists,Non-Painters,Writers,Art By Anne McCaffrey,Anne McCaffrey
100,Artists,Other Artists,,Painting By Bob Ross,鲍勃-罗斯
101,Artists,Other Artists,,Escher,艾舍尔
102,Artists,Other Artists,,Painting By Boris Smirnoff,鲍里斯-斯米尔诺夫
103,Artists,Other Artists,,Painted By Anton Otto,安东-奥托
104,Artists,Other Artists,,Painted By Alexander Jansson,亚历山大-扬松
105,Artists,Other Artists,,Painted By Ansel Adams,安塞尔-亚当斯
106,Artists,Other Artists,,Art By Ray Harryhausen,雷-哈里豪森
107,Artists,Other Artists,,Giger,吉格
108,Artists,Other Artists,,Painting By Raja Ravi Varma,拉贾-拉维-瓦尔马
109,Artists,Other Artists,,Painted By Anna Dittmann,安娜-迪特曼
110,Artists,Other Artists,,Painting By Hugh Ferriss,休-费里斯
111,Artists,Other Artists,,Painted By Alexandre Cabanel,亚历山大-卡巴内尔
112,Artists,Other Artists,,Painting By John Howe,约翰-豪
113,Artists,Other Artists,,Painted By Squidward Tentacles,Squidward Tentacles
